Neighbourhood,Total Population,White,Black or African American,American Indian & Alaska Native,Asian,Native Hawaiian & Pacific Islander,Persons of Color*,Population 18 and Over,Population Under 18,Persons of Color Under 18,Housing Units,Occupied Housing Units,Vacant Housing Units
City of Seattle Total,608660,422870,48316,4809,84215,2351,205082,515147,93513,44035,308516,283510,25006
Arbor Heights,6030,5082,98,43,326,33,1140,4869,1161,342,2752,2612,140
Fauntleroy/Seaview,13723,11777,349,89,625,29,2303,11352,2371,649,6920,6513,407
West Seattle Junction/Genesee Hill,17713,15299,342,122,855,46,2910,14511,3202,768,8889,8372,517
Alki/Admiral,10542,9240,188,73,554,6,1585,9034,1508,374,6068,5528,540
North Delridge,4787,3529,318,52,402,30,1493,4104,683,334,2618,2403,215
High Point,7064,2745,2319,85,1058,119,4562,4891,2173,1819,2805,2624,181
Riverview,4596,2397,481,64,1126,74,2337,3535,1061,741,1759,1667,92
Roxhill/Westwood,12392,7685,1106,205,1598,98,5423,9789,2603,1646,5678,5323,355
Highland Park,6065,3364,432,127,1236,93,3061,4797,1268,909,2895,2398,497
South Park,3873,1711,402,75,616,62,2638,2907,966,816,1473,1300,173
Georgetown,1287,904,95,25,126,4,445,1124,163,105,675,619,56
Duwamish/SODO,2354,1171,244,95,534,14,1288,2110,244,197,1104,994,110
South Beacon Hill/NewHolly,14551,1910,4073,75,7296,102,12937,10659,3892,3707,4679,4443,236
Beacon Hill,9101,2067,1031,62,5087,69,7247,7302,1799,1560,3166,2980,186
North Beacon Hill/Jefferson Park,13782,4772,1735,130,5066,49,9617,11322,2460,2029,6047,5568,479
Rainier Beach,14597,3775,4630,124,4325,172,11183,11208,3389,2962,5542,5144,398
Columbia City,16883,5576,4521,126,4948,152,11863,13191,3692,2938,6720,6287,433
Seward Park,9254,4796,1510,25,2029,57,4762,7142,2112,1169,3607,3407,200
Mt. Baker/North Rainier,5906,3382,1004,43,984,14,2631,4627,1279,628,2558,2418,140
Madrona/Leschi,9974,6411,2069,53,667,36,3788,7972,2002,932,4522,4182,340
Judkins Park,2925,1008,640,25,884,8,2023,2525,400,345,1775,1492,283
Central Area/Squire Park,16969,10369,3668,106,1160,40,7166,14623,2346,1485,8879,8216,663
First Hill,15181,9266,2245,252,2247,83,6460,14357,824,663,9159,7628,1531
Capitol Hill,19078,14636,1058,169,1767,60,5233,18397,681,410,14333,13177,1156
North Capitol Hill,4157,3655,46,21,243,4,621,3716,441,91,2520,2294,226
Miller Park,6705,5472,493,13,356,7,1422,5558,1147,333,3302,3146,156
Madison Park,4962,4546,60,10,186,2,510,4064,898,136,2829,2526,303
Montlake/Portage Bay,8644,7384,167,26,608,10,1434,7445,1199,263,4690,4309,381
University District,19051,12527,437,95,4446,56,7103,18445,606,178,5986,5587,399
Ravenna/Bryant,24187,19394,522,92,2586,38,5426,19960,4227,1232,10777,10177,600
Wedgwood/View Ridge,14837,12112,233,79,1549,13,3073,11658,3179,865,6526,6201,325
Laurelhurst/Sand Point,10479,8624,203,31,1064,32,2039,7834,2645,681,4620,4268,352
Northgate/Maple Leaf,14057,9914,777,147,1893,83,4631,11863,2194,986,7608,6875,733
Olympic Hills/Victory Heights,14587,9809,1018,141,2346,55,5347,12248,2339,1221,7126,6671,455
Cedar Park/Meadowbrook,12798,8660,1151,135,1649,67,4610,10407,2391,1183,6237,5780,457
Broadview/Bitter Lake,13557,10087,933,120,1354,47,3807,11544,2013,840,7514,6740,774
Licton Springs,8875,5999,566,82,1295,23,3235,7738,1137,642,4580,4267,313
Greenwood/Phinney Ridge,23948,20051,585,191,1538,58,4676,20078,3870,1107,11664,11085,579
Green Lake,14212,12010,205,59,1093,12,2590,12253,1959,514,7234,6797,437
Haller Lake,10229,6598,705,90,1777,34,3978,8419,1810,961,4699,4435,264
North Beach/Blue Ridge,11433,9692,274,89,665,11,2057,9243,2190,552,5279,5021,258
Whittier Heights,11861,10283,183,83,552,28,1936,9765,2096,498,5721,5478,243
Sunset Hill/Loyal Heights,13902,12466,162,70,523,18,1789,11535,2367,464,6976,6659,317
Ballard,6739,5701,203,59,375,13,1272,6249,490,185,4697,4020,677
Fremont,15626,13293,307,92,1002,17,2742,14016,1610,474,8819,8292,527
Wallingford,16014,12239,350,65,2286,41,4223,14193,1821,509,7930,7425,505
Cascade/Eastlake,13526,9748,984,161,1685,49,4313,13077,449,250,10834,8853,1981
Magnolia,12383,10885,143,39,736,18,1761,9728,2655,517,5669,5299,370
Interbay,9802,8010,309,76,668,45,2203,8655,1147,381,5485,5025,460
Queen Anne,35458,30014,811,209,2409,59,6456,31835,3623,894,21160,19359,1801
Belltown,8601,6157,631,120,1147,33,2757,8425,176,80,6913,5932,981
Downtown Commercial Core,4070,2950,398,81,421,8,1232,3969,101,43,3100,2521,579
Pioneer Square/International District,5333,1718,902,88,2247,20,3744,4879,454,427,3398,3173,225
